Page,Meta description
https://wertymsd.github.io/CENTRALITA-IA-SAGE-SALES/,Descargue la herramienta  para conectar su CRM SAGE Sales con IA y su teléfono Android. Podra abrir de forma automática la ficha que le llama o crearla con un asistente IA. Ademas usando su compañía telefónica habitual.
https://wertymsd.github.io/CENTRALITA-IA-SAGE-SALES/castellano/api-sage-sales/,"Antes de empezar necesitarás tu clave de API pública y tu clave de API privada. Si ya tienes una cuenta de SAGE Sales y eres administrador, puedes encontrar tu clave API en Configuración > Integraciones > Gestión de claves API de la aplicación web SAGE Sales o en la sección Claves de la herramienta ForceAdmin."
https://wertymsd.github.io/CENTRALITA-IA-SAGE-SALES/castellano/app-call-remoto/,"Use su PC de Microsoft Windows como marcador remoto para la gestión de llamadas entrantes y salientes y para escribir y recibir mensajes SMS. Busque las llamadas entrantes perdidas en su registro de llamadas, leer su SMS y utilizar los contactos del teléfono para la marcación y la creación de mensajes SMS. Todo desde su escritorio de Windows a través de Wi-Fi o Bluetooth ...."
https://wertymsd.github.io/CENTRALITA-IA-SAGE-SALES/castellano/casos-uso/,Ideas para uso de esta centralita
https://wertymsd.github.io/CENTRALITA-IA-SAGE-SALES/castellano/centralita-crm-ia-sage-sales/,"La integración la aplicación CRM-SAGE Sales  le aporta mayores beneficios en sus comunicaciones porque le permite mejorar la gestión de tiempo y de los recursos. Esta integración de la centralita destaca por la marcación de un solo clic al lanzar las llamadas, registro automático con la información detallada de las llamadas  y mucho más, que garantiza que tenga todos los datos de los clientes a mano y sea más efectiva las comunicaciones. Apertura automática de la ficha de SAGE Sales con contenga el numero entrante o saliente."
https://wertymsd.github.io/CENTRALITA-IA-SAGE-SALES/castellano/creacion-nuevo-registros-sage-sales/,"¿Alguna vez ha recibido una llamada de un número desconocido y se ha preguntado quién era? 

Ahora, con nuestra herramienta de IA para identificar a los que llaman, puede averiguarlo fácilmente.

 Nuestra herramienta se conecta a su teléfono Android y utiliza la IA para identificar a la persona que llama. 

En cuestión de segundos, le proporcionará una lista de posibles coincidencias, junto con información como su nombre, empresa y número de teléfono.

Esta información puede ser invaluable para las empresas que necesitan identificar a los clientes potenciales o para las personas que simplemente quieren saber quién está llamando."
https://wertymsd.github.io/CENTRALITA-IA-SAGE-SALES/castellano/faq-pregunta-frecuentes/,"¿Necesito Internet para usar la centralita?
No, las llamadas funcionan con la red móvil nativa. Solo necesitas Internet para emparejar el móvil con el PC (opcional)."
https://wertymsd.github.io/CENTRALITA-IA-SAGE-SALES/castellano/inicio-rapido-centralita-sage-sales/,1º Descarga Gratuita Herramienta Centralita
https://wertymsd.github.io/CENTRALITA-IA-SAGE-SALES/castellano/link-descarga-software-centralita-sage-sales/,Descargue aqui la herramienta para conectar su CRM SAGE Sales con IA y su telefono Android.
https://wertymsd.github.io/CENTRALITA-IA-SAGE-SALES/castellano/llamadas-directas/,No necesita internet para llamar uso su red habitual
https://wertymsd.github.io/CENTRALITA-IA-SAGE-SALES/castellano/pantalla-configuracion-centralita-sage-sales/,Pantalla de parametrización de la aplicación con la siguientes opciones:
https://wertymsd.github.io/CENTRALITA-IA-SAGE-SALES/castellano/requisitos-minimos/,Requisitos minimos para la instalacion
https://wertymsd.github.io/CENTRALITA-IA-SAGE-SALES/castellano/soporte/,¿Problemas con la instalación o el emparejamiento? Revisa los requisitos y configuración antes de contactar
https://wertymsd.github.io/CENTRALITA-IA-SAGE-SALES/castellano/uso-ia/,"Identificación automática de llamadas, búsqueda de información de empresa y persona. 
- IA avanzada de pago: Análisis de sentimientos, sugerencias de acciones, automatización de tareas. 
- Activa/desactiva IA desde el menú de configuración. 
- Personaliza el nivel de IA según tus necesidades. La IA busca automáticamente información sobre el número de teléfono y la empresa, y la muestra durante la llamada."
